order_id,title,quantity,status,created_at,started_at,completed_at,wait_time_seconds,completion_time_seconds,completion_time_minutes,total_requeues,avg_requeue_time_ms,min_requeue_time_ms,max_requeue_time_ms
299,Batch Test,127,completed,2025-12-15 17:06:06.769147+00,2025-12-15 18:26:15.362583+00,2025-12-15 19:45:16.742833+00,4809,4741,79.02,16,4597.81,4386,5104
300,Batch Test,242,completed,2025-12-15 17:06:07.025597+00,2025-12-15 18:26:50.553922+00,2025-12-15 19:49:41.502345+00,4844,4971,82.85,18,7210.44,5740,7448
301,Batch Test,105,completed,2025-12-15 17:06:08.327821+00,2025-12-15 18:28:18.37345+00,2025-12-15 19:51:27.191277+00,4930,4989,83.15,58,5994.66,4380,24673
302,Batch Test,185,completed,2025-12-15 17:06:08.511183+00,2025-12-15 18:29:00.396181+00,2025-12-15 19:51:29.229071+00,4972,4949,82.48,23,5136.70,4917,5550
303,Batch Test,248,completed,2025-12-15 17:06:08.773149+00,2025-12-15 18:29:56.589838+00,2025-12-15 19:54:14.615308+00,5028,5058,84.30,25,6215.76,4411,26172
304,Batch Test,126,completed,2025-12-15 17:06:09.158412+00,2025-12-15 18:31:23.640183+00,2025-12-15 19:55:24.311027+00,5114,5041,84.01,8,4613.75,4387,4848
305,Batch Test,151,completed,2025-12-15 17:06:09.325087+00,2025-12-15 18:32:04.365633+00,2025-12-15 20:05:42.784655+00,5155,5618,93.64,52,5669.02,4870,6942
306,Batch Test,142,completed,2025-12-15 17:06:09.553083+00,2025-12-15 18:33:08.253062+00,2025-12-15 20:12:00.252273+00,5219,5932,98.87,20,6379.35,4234,31271
307,Batch Test,182,completed,2025-12-15 17:06:10.003902+00,2025-12-15 18:33:56.299191+00,2025-12-15 20:11:58.225475+00,5266,5882,98.03,17,20170.76,4299,22365
308,Batch Test,213,completed,2025-12-15 17:06:10.527039+00,2025-12-15 18:35:02.202588+00,2025-12-15 20:06:49.472767+00,5332,5507,91.79,34,12783.94,5053,23055
309,Batch Test,162,completed,2025-12-15 17:06:11.112683+00,2025-12-15 18:36:15.829933+00,2025-12-15 20:04:38.92648+00,5405,5303,88.38,33,5487.52,4293,22540
310,Batch Test,262,completed,2025-12-15 17:06:11.776527+00,2025-12-15 18:37:04.983953+00,2025-12-15 20:13:07.198396+00,5453,5762,96.04,57,5082.30,4223,5953
311,Batch Test,296,completed,2025-12-15 17:06:12.472609+00,2025-12-15 18:38:35.125743+00,2025-12-15 20:13:05.171546+00,5543,5670,94.50,86,8842.95,4228,25325
312,Batch Test,163,completed,2025-12-15 17:06:12.902263+00,2025-12-15 18:40:13.736168+00,2025-12-15 20:15:22.862869+00,5641,5709,95.15,26,5327.81,4283,6832
313,Batch Test,274,completed,2025-12-15 17:06:13.181813+00,2025-12-15 18:41:05.895921+00,2025-12-15 20:23:39.440519+00,5693,6154,102.56,55,15722.62,4941,23273
314,Batch Test,232,completed,2025-12-15 17:06:13.655485+00,2025-12-15 18:42:40.332505+00,2025-12-15 20:26:36.677752+00,5787,6236,103.94,54,11518.54,4176,25606
315,Batch Test,247,completed,2025-12-15 17:06:14.062838+00,2025-12-15 18:44:08.488521+00,2025-12-15 20:26:40.241798+00,5874,6152,102.53,43,6155.14,4204,8910
316,Batch Test,299,completed,2025-12-15 17:06:14.452273+00,2025-12-15 18:45:31.443953+00,2025-12-15 20:29:09.292065+00,5957,6218,103.63,112,15784.03,4281,29737
317,Batch Test,138,completed,2025-12-15 17:06:14.904249+00,2025-12-15 18:47:16.531479+00,2025-12-15 20:29:09.633903+00,6062,6113,101.89,34,20686.74,5577,22813
318,Batch Test,117,completed,2025-12-15 17:06:15.078698+00,2025-12-15 18:48:01.500317+00,2025-12-15 20:43:11.842199+00,6106,6910,115.17,42,16132.19,4319,21718
319,Batch Test,260,completed,2025-12-15 17:06:15.31633+00,2025-12-15 18:48:38.667648+00,2025-12-15 20:46:30.983328+00,6143,7072,117.87,62,9361.95,4226,20760
320,Batch Test,208,completed,2025-12-15 17:06:16.031205+00,2025-12-15 18:50:06.554358+00,2025-12-15 20:33:44.32507+00,6231,6218,103.63,33,13274.70,4984,20807
321,Batch Test,297,completed,2025-12-15 17:06:17.001333+00,2025-12-15 18:51:16.247107+00,2025-12-15 20:43:16.001351+00,6299,6720,112.00,48,9224.38,4325,22181
322,Batch Test,289,completed,2025-12-15 17:06:17.476427+00,2025-12-15 18:52:54.999495+00,2025-12-15 20:49:51.708116+00,6398,7017,116.95,112,13897.55,4221,24584
323,Batch Test,216,completed,2025-12-15 17:06:18.206698+00,2025-12-15 18:54:32.720417+00,2025-12-15 20:42:21.072554+00,6495,6468,107.81,120,7262.45,4050,23069
324,Batch Test,210,completed,2025-12-15 17:06:18.754148+00,2025-12-15 18:55:39.627929+00,2025-12-15 20:48:14.634947+00,6561,6755,112.58,36,4485.92,4037,4806
325,Batch Test,297,completed,2025-12-15 17:06:19.197278+00,2025-12-15 18:56:48.146573+00,2025-12-15 20:49:43.297339+00,6629,6775,112.92,52,5028.10,4556,5261
326,Batch Test,150,completed,2025-12-15 17:06:19.613606+00,2025-12-15 18:58:39.014826+00,2025-12-15 20:53:49.84609+00,6739,6911,115.18,46,10359.48,4284,19946
327,Batch Test,241,completed,2025-12-15 17:06:19.803519+00,2025-12-15 18:59:23.076167+00,2025-12-15 20:51:47.538624+00,6783,6744,112.41,49,5514.73,4359,19546
328,Batch Test,105,completed,2025-12-15 17:06:20.11663+00,2025-12-15 19:00:46.620118+00,2025-12-15 20:52:49.261744+00,6867,6723,112.04,8,5037.88,4553,5899
